State,FIPS,inc.2008,inc.2009,inc.2010,inc.2011,inc.2012,inc.3yr,inc.5yr,pop.5y,inc.rate,harm.rate,Number; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - 10 to 14 years,Percent; SEX AND AGE - Total population - 15 to 19 years,Percent; SEX AND AGE - Total population - 55 to 59 years,Percent; SEX AND AGE - Total population - 60 to 64 years,Percent; RACE - Total population - One Race - White,Percent; RACE - Total population - One Race - Black or African American,Percent; RACE - Total population - One Race - Asian,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - 65 years and over,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7],Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Divorce,Marriage,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Percent Margin of Error; RELATIONSHIP - Nonrelatives,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner,Percent; MARITAL STATUS - Never married,"Percent; MARITAL STATUS - Now married, except separated",Percent; MARITAL STATUS - Separated,Percent; MARITAL STATUS - Widowed,Percent; MARITAL STATUS - Divorced,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old",Percent; GRANDPARENTS - Responsible for grandchildren,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma",Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree",Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher,Percent; VETERAN STATUS - Civilian veterans,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability,Percent; RESIDENCE 1 YEAR AGO - Same house,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence,Percent; PLACE OF BIRTH - Foreign born,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces,Percent; EMPLOYMENT STATUS - Percent Unemployed,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - All parents in family in labor force,Percent; CLASS OF WORKER - Government workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars),Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Percent; HEALTH INSURANCE COVERAGE - With health insurance coverage,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Median (dollars)
5,5051,1,1,1,0,0,1,3,490145,6.12063777,33.333333,96024,5.8,6.3,7.1,7.2,86.4,7.9,0.7,4.8,2.5,0.8,5.2,2.5,1.3,64.7,18.9,29.74588257,67.58356546,48.7,29.6,35.1,2.43,3,5.3,2.6,25.7,52.8,1.6,4.5,15.3,34,56,4.9,8.7,32.7,24.9,12.7,8,86.4,20.7,13.5,18.6,81.1,55.8,3.6,55.4,0,10.3,49.6,63.1,13.7,38201,54220,11.9,80.5,15.9,30.2,23,134900,726
5,5057,1,0,1,0,0,1,2,114484,17.46969009,0,22609,7.1,6.7,6.4,5.7,59.4,29.4,0.4,12,4,0.9,4.4,2.1,1,69.1,15.2,24.74032106,41.15279761,43.7,30.3,27.3,2.6,3.23,4.2,1.7,28.1,53.5,3.7,2.9,11.9,64,N,7.7,12.2,33.6,25.2,11.2,4.2,80,15.5,10,19.8,85.7,63.3,6,61.1,0,10.6,58.2,73.9,19.2,29849,43038,14.4,80.2,22.7,37,18.4,76900,591
5,5059,0,0,0,0,1,1,1,29584,33.80205516,100,32923,6.5,7.1,7.2,6.5,85.6,10.8,0.3,2.8,3,0.7,4,2,4.8,70.8,11.6,25.9204333,33.82318638,51.2,25.2,31.6,2.56,3.02,6.3,2.2,27.1,50,3,3.4,16.5,24,50.4,5.1,10.8,40.9,21.2,9.3,4.3,84.1,13.6,12.5,22.4,87.8,75.7,1.2,56.9,0.1,8.6,53.2,79.8,22.3,41016,47960,12.6,83.9,10.9,18.2,14.1,83100,645
5,5061,0,1,0,0,0,0,1,69045,14.48330799,0,13789,7.2,6.9,6,6,71.8,20.6,0.6,9.8,3.1,0.7,3.5,1.9,1.3,70.7,14,29.60969044,32.11942999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5063,1,0,0,0,1,1,2,177691,11.25549409,50,36647,6.5,6.7,6.5,6,91.9,2,0.8,5.8,2.8,0.7,4.8,2.2,1.3,69.6,11.1,27.95600367,36.56948202,50,27.1,27.5,2.49,2.98,6.7,2.3,26.7,55.7,3.4,3.3,10.8,48,N,7.4,12.1,41.2,21.6,8.6,4.7,80.5,13.3,9.9,16.8,84.7,68.3,3.9,58.2,0.1,9.4,51.3,72,16.4,33058,44823,14.2,82.1,18.6,31.5,10.8,85500,584
5,5069,0,2,1,1,0,2,4,336792,11.87676667,75,77435,6.8,7.7,6.9,5.8,42,55.1,0.8,1.6,4.3,0.8,4.2,2.1,5.2,67.2,12.5,31.18001222,27.02192582,38.6,33.7,26.2,2.46,3.14,4.2,2.1,38.8,40.8,3,3.4,14,53,46.7,6,10.1,37.8,22.6,12.1,5.6,83.9,17.7,10.4,17.9,83.3,77.3,1.2,57.2,0.1,14.7,57.9,77.5,27.9,37485,50406,20.6,85.8,17.8,28,13.5,81800,646
5,5071,0,0,0,1,0,1,1,126990,7.874635798,100,25540,6.6,7.6,5.9,5.7,87.2,1.4,0.7,12.1,2.6,0.7,4.9,2.4,0.7,69.5,13.3,26.93125443,38.3096944,52.8,26.7,28,2.5,3.02,3.8,1.6,25.6,57.4,1.4,2.5,13,58,52.1,9,12.6,39.8,18.6,11.8,4.8,78.4,16.6,8.3,16.2,86.9,61.4,8.2,57.3,0,6.2,51.4,67.5,12.5,32389,53647,15.8,84.5,16.2,24.4,11.1,86300,609
5,5081,0,1,0,0,0,0,1,64690,15.45833977,0,13171,7.1,6.7,6.9,7,75.5,19.1,0.3,2.7,3.6,0.6,3.7,2,0.9,68.5,16.2,28.41429881,38.02281369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5083,0,2,0,1,0,1,3,112495,26.6678519,0,22353,7,7.6,6.8,6.4,93.2,1.3,1.6,2.3,3.4,0.7,4.6,2.2,1,70,13.9,23.88688856,40.3200502,52.1,26.8,30.2,2.56,3.08,3.8,2.2,26.2,53.8,2.1,2.7,15.1,37,56.7,5.2,11.9,41.9,22.2,9.5,2.6,82.9,12.1,13,20,87.4,67.1,1,55.3,0.4,7.5,51.5,78.7,17.2,36113,49314,15,83.6,12.1,19.7,16.5,81200,504
5,5085,1,0,4,1,0,5,6,326805,18.35957222,66.666667,68356,8,6.9,5.6,5,89.8,6,0.8,3.3,2.6,0.7,4.1,2,0.8,75.2,7.1,28.20473409,32.82474804,56.7,21.9,21.3,2.72,3.19,3.3,1.6,25.1,58.4,2.2,2,12.2,70,60.1,4.4,8.5,35.9,24.2,12.7,6.1,87.1,18.9,16.7,15.5,86.6,64.1,1.9,66.7,2.2,8,59.7,74.4,18.1,50730,60241,11.1,85.5,9.8,14.8,8.3,117400,685
5,5087,0,0,1,1,0,2,2,67118,29.79826574,100,15717,7.1,7.1,7.3,6.4,93.6,0.2,0.5,4.8,2.4,0.8,4.1,2.2,0.5,71.7,17.5,23.7388724,32.44997296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5091,0,0,1,0,0,1,1,161933,6.175393527,100,43462,6.6,6.5,6.5,5.7,71.6,24.5,0.5,2.4,3.4,0.7,4.5,2.5,2.9,67.9,10.7,29.70456869,64.49370511,43,31.2,24.5,2.53,3.22,2.7,2.1,29.1,45.9,3.8,4,17.2,68,58.6,6,10.4,42.2,23.6,8,3.6,83.7,11.7,10.1,16.6,79.3,35.3,0.8,59.6,0,10.4,53.6,63.9,18.6,38380,48437,17,81.4,16.5,24.9,13.3,87500,662
5,5093,0,0,0,1,1,2,2,228995,8.733815149,50,46480,8,7.5,6.2,5.3,61.6,34,0.5,3.6,4.3,0.7,4.6,2.5,1.6,68.5,13.3,33.85393157,39.85677389,45.6,24.1,24.7,2.66,3.14,4.7,2,32.8,47.3,3.5,4.4,11.9,37,60.4,9.9,14,34.9,21,8.5,5.7,76.1,14.2,9.5,21.9,82.3,67.3,1.8,57.7,0.2,13.9,52.7,58.8,20.9,36226,49068,22.5,82.5,21.8,30,17.1,81500,599
5,5101,1,0,0,0,0,0,1,41429,24.13768133,100,8330,6,5.9,8.2,7.9,96.1,0.1,0.3,1.7,2.1,0.9,3.5,1.7,0.6,66.7,23.4,19.19214461,33.46938776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5103,0,0,1,0,0,1,1,128746,7.767231603,0,26120,6.1,6.7,7.6,6.6,57,40.1,0.4,1.6,3.9,0.8,4,2.1,1.2,65.8,16.1,29.82376864,30.18108652,46.7,29.3,29,2.36,2.91,2.1,1.1,26.9,55.9,2.5,3.2,11.5,47,48.1,4.5,9.6,41.9,21.5,11,4.2,85.8,15.2,10.4,22.2,89.5,76.9,0.9,57.3,0.4,12.7,53.5,72.9,21.7,32668,44735,18.1,87.4,17.6,27.1,18,71900,561
5,5107,4,0,0,2,0,2,6,65755,91.24781385,33.333333,21757,8,8.5,6.6,5.8,35,63.1,0.3,1.3,5.6,0.9,4.1,2.4,0.8,66.1,16.1,26.08878603,48.42126501,33.8,30.8,32,2.51,3.14,3.9,2.1,38.7,41.2,5.1,4.1,10.9,88,58.2,9.4,14.6,30.1,23.2,8.7,4.2,76,12.9,8,21.9,85.7,76.8,0.7,56.6,0,16.8,54.9,65.3,23,27337,43232,31.6,85.2,26.9,41.4,17,59800,605
