FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
20123,0.3,,,,,,,6373
20125,0.5,5.2,26.8,82.6,61.3,39322,565,35471
20127,0.5,,,,,,,5923
20129,0.4,,,,,,,3233
20133,0.3,,,,,,,16512
20139,0.4,,,,,,,16295
20143,0.3,,,,,,,6091
20145,0.3,,,,,,,6973
20149,0.5,3.7,24.9,91.5,70.5,55244,717,21604
20151,0.4,,,,,,,9656
20153,0.4,,,,,,,2519
20155,0.4,4.1,31.4,79.5,62.1,42496,618,64511
20159,0.2,,,,,,,10083
20161,0.3,16,24.5,75.1,68.2,44414,841,71115
20167,0.4,,,,,,,6970
20169,0.4,5.6,25.6,83.1,69.8,45164,651,55606
20171,0.3,,,,,,,4936
20173,0.6,4.9,26,83.1,68.8,48511,701,498365
20175,0.7,5.8,17.5,82.8,69.6,48198,669,22952
20177,0.5,5.1,23.2,82.4,66,46847,692,177934
20191,0.4,4.1,26.6,83.5,64.1,47729,606,24132
20199,0.2,,,,,,,1485
20203,0.3,,,,,,,2234
20205,0.5,,,,,,,9409
20207,0.6,,,,,,,3309
20209,0.8,6.2,23.4,82,66.7,38940,721,157505
21003,0.7,4,20,83.5,59,37291,552,19956
21007,0.4,,,,,,,8249
21009,0.6,2.6,15.8,85.6,60.5,38603,535,42173
21013,0.9,3.1,14.9,91.2,43.1,25209,482,28691
21015,0.7,3.5,23.9,88.3,70.9,65042,848,118811
21017,0.8,,,,,,,19985
21019,0.8,5.7,24.9,87.1,51.1,38933,595,49542
21021,0.6,4.8,19.5,79.2,57.4,39101,635,28432
21029,0.7,4.7,23,87.1,68.1,53748,754,74319
21031,0.9,,,,,,,12690
21033,0.5,,,,,,,12984
21035,0.5,8.4,21.4,79.9,62.7,40304,524,37191
21037,0.7,5,21.4,85,68.2,53080,706,90336
21041,0.6,,,,,,,10811
21047,0.5,3.3,28.6,76.5,62.3,37463,742,73955
21055,0.7,,,,,,,9315
21057,0.7,,,,,,,6856
21059,0.5,4.4,20.4,88,61.2,44858,618,96656
21061,0.8,,,,,,,12161
21067,0.6,8.9,20.5,75.8,69,47785,737,295803
21071,0.8,3.2,19.9,87.4,41.9,27788,551,39451
21073,0.6,5.7,21.9,80.9,60.2,44972,685,49285
21081,0.7,3.6,21.5,88.4,63.1,46813,678,24662
21083,0.5,2.1,19.4,90.4,56.9,36927,557,37121
21085,0.6,4.5,19.2,83,55.3,34020,511,25746
21087,0.6,,,,,,,11258
21093,0.7,4.3,24.4,76.8,65.6,47469,721,105543
21095,0.8,2.9,15.1,91.4,38.4,25718,491,29278
21097,0.7,,,,,,,18846
21099,0.6,,,,,,,18199
21101,0.6,4.3,21.1,83.9,60.3,39947,580,46250
21103,0.9,,,,,,,15416
21107,0.6,4.3,21.4,86.3,58.5,40979,585,46920
21109,0.5,,,,,,,13494
21111,0.7,5.8,22.9,85.6,65.8,45482,707,741096
21113,0.7,5.2,20.5,80.4,65.3,46522,711,48586
21117,0.6,6,22.5,85.3,67.7,52555,724,159720
21121,0.8,2.3,14,86.7,44.2,26047,513,31883
21135,0.6,,,,,,,13870
21137,0.8,4.4,16,87.4,53.8,33164,497,24742
21141,0.6,4.7,17.5,84.4,56.3,35588,549,26835
21145,0.6,4,24.7,86.9,59.7,44910,582,65565
21151,0.6,8.2,21.3,79.9,62.1,40065,612,82916
21161,0.7,,,,,,,17490
21169,0.7,,,,,,,10099
21173,0.6,4.5,20.5,82.6,55.9,35534,602,26499
21177,0.6,3.7,16.6,85.9,49.3,39082,502,31499
21179,0.5,4.5,18.4,87,63.2,41976,671,43437
